article,name,lang
https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E5%8D%B0%E5%BA%A6%E5%B0%BC%E8%A5%BF%E4%BA%9E%E7%96%AB%E6%83%85,2019冠狀病毒病印度尼西亞疫情,zh
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2019-2020_en_Marruecos,Pandemia de enfermedad por coronavirus de 2019-2020 en Marruecos,es
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Letonia,Pandemia de enfermedad por coronavirus de 2020 en Letonia,es
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D9%83%D9%88%D9%84%D9%88%D9%85%D8%A8%D9%8A%D8%A7_2020,جائحة فيروس كورونا في كولومبيا 2020,ar
https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Colombia,Pandemia de enfermedad por coronavirus de 2020 en Colombia,es
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A8%D9%84%D8%BA%D8%A7%D8%B1%D9%8A%D8%A7_2020,جائحة فيروس كورونا في بلغاريا 2020,ar
https://ko.wikipedia.org/wiki/%EB%B6%88%EA%B0%80%EB%A6%AC%EC%95%84%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,불가리아의 코로나바이러스감염증-19 범유행,ko
https://tr.wikipedia.org/wiki/Bulgaristan%27da_2020_koronavir%C3%BCs_pandemisi,Bulgaristan'da 2020 koronavirüs pandemisi,tr
https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A8%D9%86%D8%BA%D9%84%D8%A7%D8%AF%D9%8A%D8%B4_2020,جائحة فيروس كورونا في بنغلاديش 2020,ar
https://th.wikipedia.org/wiki/%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%A3%E0%B8%B0%E0%B8%9A%E0%B8%B2%E0%B8%94%E0%B8%97%E0%B8%B1%E0%B9%88%E0%B8%A7%E0%B8%82%E0%B8%AD%E0%B8%87%E0%B9%82%E0%B8%84%E0%B9%82%E0%B8%A3%E0%B8%99%E0%B8%B2%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA%E0%B9%83%E0%B8%99%E0%B8%9B%E0%B8%A3%E0%B8%B0%E0%B9%80%E0%B8%97%E0%B8%A8%E0%B8%9A%E0%B8%B1%E0%B8%87%E0%B8%81%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%97%E0%B8%A8_%E0%B8%9E.%E0%B8%A8._2563,การระบาดทั่วของโคโรนาไวรัสในประเทศบังกลาเทศ พ.ศ. 2563,th
